cluster_id,left_key,right_key,method,similarity,threshold,left_sha256,right_sha256
dedup-0022,bangdream_004_event_92_story_01,bangdream_004_live_event_92_ssr,embedding_cosine,0.9994509220123291,0.992,d91b592326b54ea76c955f582eeb6626226e269211f5f85cd71a9214b8d779eb,d3e5bf1edb3a6de173d4946ee3dba1734b266f0b6d1f3fb99cff2cec5b2a5258
dedup-0023,bangdream_004_school_summer,bangdream_004_school_summer-2023,embedding_cosine,0.9940649271011353,0.992,63523ed14f4196872d20477f2a393028a0c1c3c111f8a1f0dada3e175ee0be47,1d2f0b3dc6c7a71d298d490d629cea83f906b60922cb4181567702c6211bad3a
dedup-0020,bangdream_004_school_winter,bangdream_004_school_winter-2023,embedding_cosine,0.9929519891738892,0.992,ec9857a1a596efc2c9d21fb45a1fc84572ec843872c32a8855cad4516678ce24,1eb3fade68f1aa1810b1553a9fb2edfa93bb3345f3b0df9c1ccd9246602d410e
dedup-0024,bangdream_005_casual_winter,bangdream_005_event_101_story_01,embedding_cosine,0.9988946318626404,0.992,c51b7d70e90e1ebdafa14b8bc9d226d014aadbf986258973275011ba7307de7b,ee59a11102e71ee525cc1a5d5188267f7137bacf9c5fcd6dca97e749412f3b23
dedup-0025,bangdream_005_chapter0_pajamas,bangdream_005_pajamas-2023,embedding_cosine,0.9938104748725891,0.992,1ee0d8a8f69da95cd577e2f2935cb1151dbc2fbc4c34e66553c379d9e22acccd,805f04cbbd709a984d7559d25e1e6c776c5df85f04576555371e6bc61d2cddaf
dedup-0026,bangdream_005_event_160_story_01,bangdream_005_event_50_story_01,embedding_cosine,0.9999580979347229,0.992,0e172ecd7f6e83ea425b6ddf3eef3aefc817d453b8e921c07942038ad24c7163,f3a7156602204786aed72a0374b7646e7633041f04b78e2191e1aa241795db3f
dedup-0027,bangdream_005_event_216_story_01,bangdream_005_school_winter,embedding_cosine,0.999355137348175,0.992,b5b7ca1bfcceecdcdcab5b489bad5c90b339549e12c788ff2b40e9cf7f508ef2,171d3cd3e57a01664ea0f7c85e0a7ca8896bb8f950a55c7144793bdc109aded3
dedup-0027,bangdream_005_event_216_story_01,bangdream_005_school_winter-2023,embedding_cosine,0.9950587749481201,0.992,b5b7ca1bfcceecdcdcab5b489bad5c90b339549e12c788ff2b40e9cf7f508ef2,49bb3c545c081946d2ecb0fbf45d3264f19ec132f34ae555da93c8964bfc6c77
dedup-0027,bangdream_005_event_216_story_01,bangdream_005_school_winter_v3,embedding_cosine,0.9990867376327515,0.992,b5b7ca1bfcceecdcdcab5b489bad5c90b339549e12c788ff2b40e9cf7f508ef2,3e1f6d040053776ee73208e4a4d8fc3000faedaa207d990b94ae61deccf58f78
dedup-0028,bangdream_005_event_92_story_01,bangdream_005_live_event_92_ssr,embedding_cosine,0.9996668100357056,0.992,b97163a06cb32cf09806caae2b760c9f7f695b1d81e3a258378c28c06c3ec9e4,ab99c6150c5d3132b9f6337bab0e91fe3b44ede2dfcaaeaa0aa4069af9bbbdc5
