resource_key,model_key,character_code,character_name,variant,resource_type,runtime,manifest_path,render_status,complete_person_decision,complete_person_reason,canvas_width,canvas_height,model_width,model_height,nonblank_pixels,nonblank_ratio,bounds_min_x,bounds_min_y,bounds_max_x,bounds_max_y,bounds_width,bounds_height,slot_x,slot_y,slot_width,slot_height,bounds_inside_ratio,fill_width_ratio,fill_height_ratio,left_overflow,right_overflow,top_overflow,bottom_overflow,issue_level,texture_count,texture_pixels,render_canvas_sha256,screenshot_path,error_stage,error_message,audited_at,duration_ms
bangdream_007_casual_winter,007_casual_winter,007,青叶摩卡,casual_winter,半身 / 冬装立绘,cubism2,src/vendor/deskpet/bangdream-models/007_casual_winter/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,61791,0.270066,0,61,439,436,440,376,52,34,344,430,0.779739,1.27907,0.874419,52,43,0,0,good,1,1048576,e51f0771c3e14d5cb244e4ad1b102c8e0293e63ce3035f44e666e421dccdecc5,.cache/deskpet-audit/render-screenshots/bangdream_007_casual_winter.png,,,2026-06-14T19:19:16.673Z,1051
bangdream_008_casual,008_casual,008,上原绯玛丽,casual,半身 / 私服立绘,cubism2,src/vendor/deskpet/bangdream-models/008_casual/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,60271,0.263422,0,68,439,436,440,369,52,34,344,430,0.779699,1.27907,0.85814,52,43,0,0,good,1,1048576,877d3d52a7583998933667a8814c1a3117fc6ee5e635b04536ce090b7ce83cd2,.cache/deskpet-audit/render-screenshots/bangdream_008_casual.png,,,2026-06-14T19:19:17.724Z,1034
bangdream_008_casual_summer,008_casual_summer,008,上原绯玛丽,casual_summer,半身 / 夏装立绘,cubism2,src/vendor/deskpet/bangdream-models/008_casual_summer/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,59829,0.26149,0,68,439,436,440,369,52,34,344,430,0.779699,1.27907,0.85814,52,43,0,0,good,1,1048576,6caecdcd69a076b829b1e8bf0828be4ba763a121c6072602410b53f507d653fa,.cache/deskpet-audit/render-screenshots/bangdream_008_casual_summer.png,,,2026-06-14T19:19:18.758Z,1049
bangdream_008_casual_winter,008_casual_winter,008,上原绯玛丽,casual_winter,半身 / 冬装立绘,cubism2,src/vendor/deskpet/bangdream-models/008_casual_winter/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,61072,0.266923,0,68,439,436,440,369,52,34,344,430,0.779699,1.27907,0.85814,52,43,0,0,good,1,1048576,42c1ee0f89024faf818810aa91258f2474bee68c2867950f8770d9cced172344,.cache/deskpet-audit/render-screenshots/bangdream_008_casual_winter.png,,,2026-06-14T19:19:19.807Z,1093
bangdream_009_casual,009_casual,009,宇田川巴,casual,半身 / 私服立绘,cubism2,src/vendor/deskpet/bangdream-models/009_casual/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,66217,0.28941,0,31,439,436,440,406,52,34,344,430,0.774116,1.27907,0.944186,52,43,3,0,good,1,1048576,29ccf21f77842c3ef4110c743eb2859549aa1467d78202fd5260e49c2cbae2fa,.cache/deskpet-audit/render-screenshots/bangdream_009_casual.png,,,2026-06-14T19:19:20.900Z,1023
bangdream_009_casual_summer,009_casual_summer,009,宇田川巴,casual_summer,半身 / 夏装立绘,cubism2,src/vendor/deskpet/bangdream-models/009_casual_summer/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,63038,0.275516,0,32,439,436,440,405,52,34,344,430,0.776027,1.27907,0.94186,52,43,2,0,good,1,1048576,1b0185ffd69a42476f1b71bbf4081489c76344b42cb5f20db59195efc7676286,.cache/deskpet-audit/render-screenshots/bangdream_009_casual_summer.png,,,2026-06-14T19:19:21.923Z,1016
bangdream_009_casual_winter,009_casual_winter,009,宇田川巴,casual_winter,半身 / 冬装立绘,cubism2,src/vendor/deskpet/bangdream-models/009_casual_winter/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,67020,0.29292,0,31,439,436,440,406,52,34,344,430,0.774116,1.27907,0.944186,52,43,3,0,good,1,1048576,749a8362d3131efdc0565388661881edef552032d9d7142b41f4c4fd45d1d1cf,.cache/deskpet-audit/render-screenshots/bangdream_009_casual_winter.png,,,2026-06-14T19:19:22.940Z,1050
bangdream_010_casual,010_casual,010,羽泽鸫,casual,半身 / 私服立绘,cubism2,src/vendor/deskpet/bangdream-models/010_casual/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,57915,0.253125,0,65,439,436,440,372,52,34,344,430,0.779717,1.27907,0.865116,52,43,0,0,good,1,1048576,cf8909bbf30dff7b0ba422afb7ed09d1c070c85a34707b8de8337ca3f131c30b,.cache/deskpet-audit/render-screenshots/bangdream_010_casual.png,,,2026-06-14T19:19:23.990Z,1000
bangdream_010_casual_summer,010_casual_summer,010,羽泽鸫,casual_summer,半身 / 夏装立绘,cubism2,src/vendor/deskpet/bangdream-models/010_casual_summer/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,59349,0.259392,0,65,439,436,440,372,52,34,344,430,0.779717,1.27907,0.865116,52,43,0,0,good,1,1048576,7f6665e6ac19783c052574c62da85818f0095ed2f20b78dd3596a33643b58d05,.cache/deskpet-audit/render-screenshots/bangdream_010_casual_summer.png,,,2026-06-14T19:19:24.990Z,1050
bangdream_010_casual_winter,010_casual_winter,010,羽泽鸫,casual_winter,半身 / 冬装立绘,cubism2,src/vendor/deskpet/bangdream-models/010_casual_winter/model.json,rendered,pass,runtime loaded and alpha bounds match a visible half-body character,440,520,392,490,59234,0.25889,0,65,439,436,440,372,52,34,344,430,0.779717,1.27907,0.865116,52,43,0,0,good,1,1048576,54109251ac0c5388a079348f5d41bc22581685760fa4be9d0522b5da9af375ac,.cache/deskpet-audit/render-screenshots/bangdream_010_casual_winter.png,,,2026-06-14T19:19:26.040Z,1034
