resource_key,resource_key_strategy,model_key,local_code,upstream_code,variant,costume_key,family,character_name_zh,character_name_ja,band,row_kind,is_current_pool,is_covered_candidate,is_union_reference,gist_selection_proxy_bucket,gist_selection_proxy_score,gist_content_safety_hint,bestdori_available_servers,bestdori_preferred_server,tagger_visual_evidence_status,tagger_visual_evidence_count,tagger_visual_evidence_primary_url,tagger_visual_evidence_primary_sha256,download_status,conversion_status,validate_status,render_status,render_complete_person_decision,render_complete_person_reason,render_nonblank_ratio,render_bounds_width,render_bounds_height,render_bounds_inside_ratio,render_image_sha256_primary,render_image_sha256_desktop,render_image_sha256_mobile,tagger_model_id,tagger_model_revision,rating_signal_source,rating_score_general,rating_score_sensitive,rating_score_questionable,rating_score_explicit,rating_predicted_label,rating_confidence,rating_margin,llm_review_status,llm_review_reason,needs_llm_review,llm_review_label,needs_human_review,human_review_label,final_content_rating,content_policy_decision,eligible_for_default_pool,eligible_for_sensitive_easter_egg_pool,exclusion_reason,evidence_refs
bangdream_001_dream_festival_2,local_code_variant,001_dream_festival_2,001,001,dream_festival_2,001_dream_festival_2,dream_festival,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,A,100,manual_review_required,"[""jp"", ""cn"", ""en"", ""kr"", ""tw""]",jp,ready,2,https://bestdori.com/assets/jp/live2d/chara/001_dream_festival_2_rip/texture_00.png,71e786a3440fe0a0092c3226321a711de74a54b75f5d2185bac0c62a3241ac29,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.0833408385515213,0.9224295020103455,0.0009429326746612787,9.782886627363041e-05,sensitive,0.9224295020103455,0.8390886634588242,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-24""]"
bangdream_001_dream_festival_3_ur,local_code_variant,001_dream_festival_3_ur,001,001,dream_festival_3_ur,001_dream_festival_3_ur,dream_festival,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,A,100,manual_review_required,"[""jp"", ""cn"", ""en"", ""tw""]",jp,ready,2,https://bestdori.com/assets/jp/live2d/chara/001_dream_festival_3_ur_rip/texture_00.png,53fd82ad10f5bb999705f03f75e3bf86b447cf5298b4ce2d4b7a3bd7859433f4,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.02142099291086197,0.9819820523262024,0.0004690791538450867,0.00033589918166399,sensitive,0.9819820523262024,0.9605610594153404,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-25""]"
bangdream_001_dream_festival_4_ur,local_code_variant,001_dream_festival_4_ur,001,001,dream_festival_4_ur,001_dream_festival_4_ur,dream_festival,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,A,100,manual_review_required,"[""jp"", ""cn"", ""en"", ""tw""]",jp,ready,2,https://bestdori.com/assets/jp/live2d/chara/001_dream_festival_4_ur_rip/texture_00.png,d7f9195274abc306ac5485f1e4761f79676678ef200a5cf93f894b3478df6d01,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.1710107922554016,0.8737786412239075,0.00046991894487291574,0.0001426524540875107,sensitive,0.8737786412239075,0.7027678489685059,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-26""]"
bangdream_001_event_102_story_01,local_code_variant,001_event_102_story_01,001,001,event_102_story_01,001_event_102_story_01,event_story,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,C,60,manual_review_required,"[""jp"", ""cn"", ""en"", ""kr"", ""tw""]",jp,ready,1,https://bestdori.com/assets/jp/live2d/chara/001_event_102_story_01_rip/texture_00.png,56a6d38bf69b9cddd3a03817f236e60c53b82eee57c425c735eeda36457109e0,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.038074638694524765,0.9647403359413147,0.0007418568129651248,8.563688606955111e-05,sensitive,0.9647403359413147,0.9266656972467899,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-27""]"
bangdream_001_event_119_story_01,local_code_variant,001_event_119_story_01,001,001,event_119_story_01,001_event_119_story_01,event_story,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,C,60,manual_review_required,"[""jp"", ""cn"", ""en"", ""kr"", ""tw""]",jp,ready,1,https://bestdori.com/assets/jp/live2d/chara/001_event_119_story_01_rip/texture_00.png,bf6b8a81e87eaa7b1bebe71ca4b92590e098e547207f85b85ffd585b5742a6f4,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.15950793027877808,0.8517828583717346,0.0011481597321107984,0.0001132145116571337,sensitive,0.8517828583717346,0.6922749280929565,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-28""]"
bangdream_001_event_119_story_02,local_code_variant,001_event_119_story_02,001,001,event_119_story_02,001_event_119_story_02,event_story,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,C,60,manual_review_required,"[""jp"", ""cn"", ""en"", ""kr"", ""tw""]",jp,ready,1,https://bestdori.com/assets/jp/live2d/chara/001_event_119_story_02_rip/texture_00.png,c92da56a84c21e74ea88b680542af445e73f14a78d0bc299e2d0afb7881acf4b,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.009281876496970654,0.986868143081665,0.0012004977324977517,0.00036452995846048,sensitive,0.986868143081665,0.9775862665846944,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-29""]"
bangdream_001_event_124_story_01,local_code_variant,001_event_124_story_01,001,001,event_124_story_01,001_event_124_story_01,event_story,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,C,60,manual_review_required,"[""jp"", ""cn"", ""en"", ""kr"", ""tw""]",jp,ready,1,https://bestdori.com/assets/jp/live2d/chara/001_event_124_story_01_rip/texture_00.png,99f96f4918de66ab0f54e7202eb4787e5cc065d1d8affaf2a0643ce6b2abf8b4,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.00029615467065013945,0.8485857844352722,0.133479505777359,0.0023262612521648407,sensitive,0.8485857844352722,0.7151062786579132,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-30""]"
bangdream_001_event_128_story_01,local_code_variant,001_event_128_story_01,001,001,event_128_story_01,001_event_128_story_01,event_story,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,C,60,manual_review_required,"[""jp"", ""cn"", ""en"", ""kr"", ""tw""]",jp,ready,2,https://bestdori.com/assets/jp/live2d/chara/001_event_128_story_01_rip/texture_00.png,b6b4b58c1c9a1e2bedd3f297319b5cd43b9ece4bea49bb45982b728262e29bfa,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.0047353170812129974,0.9925104379653931,0.001937802997417748,0.0002377010096097365,sensitive,0.9925104379653931,0.9877751208841801,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-31""]"
bangdream_001_event_147_story_01,local_code_variant,001_event_147_story_01,001,001,event_147_story_01,001_event_147_story_01,event_story,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,C,60,manual_review_required,"[""jp"", ""cn"", ""en"", ""kr"", ""tw""]",jp,ready,1,https://bestdori.com/assets/jp/live2d/chara/001_event_147_story_01_rip/texture_00.png,d302c7183435d9007ef87810ee2b659fe8468a788793d5f33e9d5729db8a5c9e,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.4863765835762024,0.5779293775558472,0.0009317718213424087,0.00011824821558548138,sensitive,0.5779293775558472,0.09155279397964478,completed,low_confidence_direct_rating threshold=0.20,False,sensitive,True,,unknown,pending,False,False,LLM review inconclusive: label=sensitive confidence=0.6,"[""raw-gist-candidate-32"", ""llm-review-bangdream_001_event_147_story_01""]"
bangdream_001_event_160_story_01,local_code_variant,001_event_160_story_01,001,001,event_160_story_01,001_event_160_story_01,event_story,户山香澄,戸山 香澄,Poppin'Party,covered_candidate,False,True,True,C,60,manual_review_required,"[""jp"", ""cn"", ""en"", ""kr"", ""tw""]",jp,ready,1,https://bestdori.com/assets/jp/live2d/chara/001_event_160_story_01_rip/texture_00.png,99f96f4918de66ab0f54e7202eb4787e5cc065d1d8affaf2a0643ce6b2abf8b4,pending,pending,pending,pending,not_run,,,0,0,,,,,animetimm/convnextv2_huge.dbv4-full,18177355d1448a69bafb0410a0608e144f714e8b,direct_rating_label,0.00029615467065013945,0.8485857844352722,0.133479505777359,0.0023262612521648407,sensitive,0.8485857844352722,0.7151062786579132,not_required,tagger_confident,False,,False,,sensitive,allow_sensitive_easter_egg,False,True,,"[""raw-gist-candidate-33""]"
